submission_id,QUD,RT,age,comments,education,endTime,experiment_id,gender,languages,min_chars,option1,option2,optionLeft,optionRight,picture,picture_nr,question,response,startDate,startTime,timeSpent,trial_name,trial_number
407,,9439,21,,Graduated High School,1562235569351,70,female,German,NA,yes,absolutely yes,NA,NA,images/Hand.png,NA,"It is important that you complete the experiment on your computer and not on your smartphone. <br /> <br /> For the experiment you have to be seated with a distance of 55 cm in front of your computer desktop. Because this is approximately one armlength, you can put your hand on the sketch to adjust your seating position. <br /> <br /> Are you ready?",absolutely,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,desktop_distance,1
407,,2503,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/23.jpg,23,  <br /> <br />   <br /> <br /> How much do you like the painting?,3,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,1
407,,2139,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/8.jpg,8,  <br /> <br />   <br /> <br /> How much do you like the painting?,3,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,2
407,,3187,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/21.jpg,21,  <br /> <br />   <br /> <br /> How much do you like the painting?,5,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,3
407,,2498,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/22.jpg,22,  <br /> <br />   <br /> <br /> How much do you like the painting?,2,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,4
407,,2477,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/19.jpg,19,  <br /> <br />   <br /> <br /> How much do you like the painting?,5,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,5
407,,2438,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/5.jpg,5,  <br /> <br />   <br /> <br /> How much do you like the painting?,2,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,6
407,,3110,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/20.jpg,20,  <br /> <br />   <br /> <br /> How much do you like the painting?,2,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,7
407,,3453,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/7.jpg,7,  <br /> <br />   <br /> <br /> How much do you like the painting?,3,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,8
407,,2803,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/9.jpg,9,  <br /> <br />   <br /> <br /> How much do you like the painting?,5,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,9
407,,2919,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/24.jpg,24,  <br /> <br />   <br /> <br /> How much do you like the painting?,6,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,10
407,,1826,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/1.jpg,1,  <br /> <br />   <br /> <br /> How much do you like the painting?,6,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,11
407,,3282,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/12.jpg,12,  <br /> <br />   <br /> <br /> How much do you like the painting?,5,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,12
407,,2348,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/13.jpg,13,  <br /> <br />   <br /> <br /> How much do you like the painting?,4,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,13
407,,3335,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/17.jpg,17,  <br /> <br />   <br /> <br /> How much do you like the painting?,3,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,14
407,,2789,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/2.jpg,2,  <br /> <br />   <br /> <br /> How much do you like the painting?,4,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,15
407,,2488,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/26.jpg,26,  <br /> <br />   <br /> <br /> How much do you like the painting?,6,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,16
407,,2355,21,,Graduated High School,1562235569351,70,female,German,NA,NA,NA,Not at all,Very much,images/28.jpg,28,  <br /> <br />   <br /> <br /> How much do you like the painting?,5,Thu Jul 04 2019 12:12:32 GMT+0200 (Mitteleuropäische Sommerzeit),1562235152337,6.950233333333333,rating_scale_like,17
